Store,Ryder Dale's Quick Mart,1,,,,,,,
TaxCategory,Food,0.07,1/1/2015,,,,,,
TaxCategory,Beverage,0,1/1/2015,,,,,,
Cashier,1,Cashier1,Aliza,111-11-1111,1001 1st St.,Edmond,Ok,73114,405.348.1111
Cashier,2,Cashier2,Alyce,222-22-2222,2002 2nd St.,Edmond,Ok,73114,405.348.2222
Item,1001,111111111111,Turkey Sandwich,Food,2.59,1/1/2015,2.29,10/29/2015,11/29/2015
Item,1002,222222222222,Ham Sandwich,Food,2.59,1/1/2015,,,
Item,1003,333333333333,Coke,Beverage,0.97,1/1/2015,0.79,8/31/2015,9/30/2015
Item,1004,444444444444,Dr. Pepper,Beverage,0.97,1/1/2015,0.79,10/29/2015,11/29/2015
Register,1,500,,,,,,,
Register,2,500,,,,,,,
Session,1,2,,,,,,,
Sale,Y,,,,,,,,
SaleLineItem,1001,1,,,,,,,
SaleLineItem,1002,2,,,,,,,
Payment,Cash,7.99,10,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1003,2,,,,,,,
SaleLineItem,1004,1,,,,,,,
Payment,Credit,2.73,2.73,MC,1111111111111110,10/1/2017,,,
Session,2,1,,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1001,1,,,,,,,
SaleLineItem,1003,2,,,,,,,
Payment,Cash,4.23,5,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1002,2,,,,,,,
SaleLineItem,1004,1,,,,,,,
Payment,Check,5.97,5.97,1010101010,111111111,1001,,,
